Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoalsPCT,X3PointShots,X3PointShotsAttempted,X3PointShotsPCT,FreeThrows,FreeThrowsAttempted,FreeThrowsPCT,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,OppFieldGoals,OppFieldGoalsAttempted,OppFieldGoalsPCT,Opp3PointShots,Opp3PointShotsAttempted,Opp3PointShotsPCT,OppFreeThrows,OppFreeThrowsAttempted,OppFreeThrowsPCT,OppOffRebounds,OppTotalRebounds,OppAssists,OppSteals,OppBlocks,OppTurnovers,OppTotalFouls
GSW,6,11/6/2015,Home,DEN,W,119,104,46,93,0.495,17,37,0.459,10,18,0.556,13,53,40,10,6,20,22,39,92,0.424,8,24,0.333,18,22,0.818,10,44,23,13,5,19,20
GSW,7,11/7/2015,Away,SAC,W,103,94,38,92,0.413,8,39,0.205,19,22,0.864,15,46,27,13,2,18,15,38,87,0.437,6,19,0.316,12,16,0.75,13,45,26,9,3,21,19
GSW,8,11/9/2015,Home,DET,W,109,95,43,91,0.473,12,21,0.571,11,13,0.846,13,41,29,13,4,16,18,40,85,0.471,6,19,0.316,9,15,0.6,12,41,15,9,3,20,14
GSW,9,11/11/2015,Away,MEM,W,100,84,36,75,0.48,11,27,0.407,17,23,0.739,7,36,22,12,8,23,30,24,70,0.343,3,15,0.2,33,36,0.917,10,41,15,14,5,21,26
GSW,10,11/12/2015,Away,MIN,W,129,116,48,89,0.539,18,38,0.474,15,16,0.938,6,33,34,8,7,11,25,43,87,0.494,3,9,0.333,27,36,0.75,15,47,21,4,1,13,18
GSW,11,11/14/2015,Home,BRK,W,107,99,43,97,0.443,12,34,0.353,9,10,0.9,11,50,31,9,10,14,19,41,98,0.418,2,18,0.111,15,16,0.938,11,50,22,12,4,12,13
GSW,12,11/17/2015,Home,TOR,W,115,110,43,80,0.538,11,29,0.379,18,27,0.667,9,34,31,10,6,20,29,37,79,0.468,6,18,0.333,30,39,0.769,12,40,18,11,2,18,25
GSW,13,11/19/2015,Away,LAC,W,124,117,38,73,0.521,17,30,0.567,31,36,0.861,8,44,31,4,4,19,20,44,88,0.5,13,29,0.448,16,24,0.667,9,35,21,11,2,10,25
GSW,14,11/20/2015,Home,CHI,W,106,94,39,79,0.494,10,29,0.345,18,24,0.75,11,49,20,7,6,15,15,35,88,0.398,7,22,0.318,17,23,0.739,15,43,22,11,2,12,19
GSW,15,11/22/2015,Away,DEN,W,118,105,47,89,0.528,15,29,0.517,9,13,0.692,11,46,35,15,8,21,25,37,86,0.43,4,15,0.267,27,35,0.771,13,41,23,9,3,19,15
GSW,16,11/24/2015,Home,LAL,W,111,77,45,92,0.489,12,35,0.343,9,15,0.6,12,48,32,9,6,8,13,31,83,0.373,3,21,0.143,12,16,0.75,8,45,16,8,2,14,15
GSW,17,11/27/2015,Away,PHO,W,135,116,46,81,0.568,22,38,0.579,21,31,0.677,11,53,32,7,9,23,26,45,92,0.489,10,26,0.385,16,23,0.696,7,30,21,13,2,14,26
